title,release_year,duration,tconst,averageRating
"Sí, Mi Amor",2020,107,tt11734696,3.9
Arctic Dogs,2019,93,tt4426464,4.8
One Day: Justice Delivered,2019,120,tt8130558,5.1
Bennett's War,2019,94,tt7370952,6.0
Roped,2020,90,tt8523028,5.4
The Stand at Paxton County,2020,103,tt8362228,6.4
All Day and a Night,2020,122,tt3993886,6.0
Get In,2019,98,tt8246392,5.7
I Am Divine,2013,90,tt1356790,7.5
Madagascar: Escape 2 Africa,2008,91,tt0479952,6.6
Material,2012,94,tt1899240,7.1
Mrs. Serial Killer,2020,107,tt10230426,4.2
Psycho,2020,143,tt9109976,6.2
The Half Of It,2020,105,tt9683478,6.9
The Heartbreak Kid,2007,116,tt0408839,5.8
What a Girl Wants,2003,105,tt0286788,5.8
Dangerous Lies,2020,97,tt10183816,5.3
A Secret Love,2020,83,tt3260524,7.8
Love Is War,2019,111,tt10799940,7.5
Murder to Mercy: The Cyntoia Brown Story,2020,97,tt9050898,6.4
Beynelmilel,2006,102,tt0893507,7.2
Bir Baba Hindu,2016,107,tt5608972,2.5
Boushkash,2008,100,tt1272034,5.3
Cinar Agaci,2011,115,tt1727564,6.2
Görümce,2016,104,tt6215910,5.0
Küçük Esnaf,2016,100,tt5535942,5.6
Lembi 8 Giga,2010,111,tt2210581,4.9
The Reliant,2019,116,tt6105774,3.3
5Gang,2019,96,tt11529348,1.9
Love Aaj Kal,2020,140,tt10023024,4.7
Bheeshma,2020,138,tt11199356,6.5
Bittersweet,2010,132,tt2210441,8.0
She Made Me a Criminal,2006,105,tt1020956,6.5
The Artist,2011,101,tt1655442,7.9
The Artist,2011,101,tt1825978,8.2
The International Player,2009,93,tt1772838,6.3
Kolaiyuthir Kaalam,2019,107,tt6280858,2.6
My Stupid Boss,2016,107,tt5514296,7.1
My Stupid Boss 2,2019,95,tt10039468,6.6
This Earth of Mankind,2019,180,tt10540024,6.9
Time to Hunt,2020,135,tt11777040,6.3
The Plagues of Breslau,2018,94,tt8618118,5.9
The Set Up,2019,105,tt10397734,4.4
The Silence of the Marsh,2019,93,tt8743032,5.0
The Willoughbys,2020,92,tt5206260,6.3
Varane Avashyamund,2020,144,tt11531530,6.9
Earth and Blood,2020,81,tt10092752,5.2
Rising High,2020,95,tt9806336,5.9
Sergio,2020,119,tt8750570,6.2
The Legacy of the Bones,2019,121,tt7304802,6.3
Alelí,2019,88,tt10984818,6.3
"Hail, Caesar!",2016,106,tt0475290,6.3
Jem and the Holograms,2015,119,tt3614530,4.1
Puerto Ricans in Paris,2015,82,tt3730510,5.4
Stunt School,2019,95,tt9056824,4.4
For the Broken Hearted,2018,93,tt9074344,6.8
World Famous Lover,2020,147,tt10991188,4.9
New Money,2018,107,tt7493184,5.3
Moms at War,2018,92,tt8844480,6.4
Code 8,2019,98,tt6259380,6.1
LA Originals,2020,92,tt12027020,7.2
Love Wedding Repeat,2020,101,tt5096470,5.5
School Life,2019,112,tt8783532,6.5
The Main Event,2020,103,tt10540242,4.8
Tigertail,2020,91,tt8902948,6.6
Born Beautiful,2019,96,tt9364848,5.5
The Last Airbender,2010,104,tt0938283,4.0
Mine 9,2019,83,tt3517870,6.2
The Florida Project,2017,111,tt5649144,7.6
Dark Light,2019,90,tt9135260,4.4
The Killing of a Sacred Deer,2017,121,tt5715874,7.0
Angel Has Fallen,2019,121,tt6189022,6.4
Coffee & Kareem,2020,88,tt9898858,5.1
The Death of Stalin,2017,107,tt4686844,7.2
Violet Evergarden: Eternity and the Auto Memory Doll,2019,91,tt10477558,7.4
Agneepath,1990,174,tt0098999,7.6
Brothers,2015,155,tt3650484,7.6
Brothers,2015,155,tt3802576,6.4
Brothers,2015,155,tt4952376,7.4
Chhota Bheem and the Curse of Damyaan,2012,87,tt2798620,6.0
Dostana,2008,142,tt1185420,6.5
Duniya,1984,170,tt0301231,6.4
Duplicate,1998,165,tt0164550,5.5
Friendship,1980,161,tt0080653,6.4
Gori Tere Pyaar Mein,2013,144,tt2275794,4.9
Gumrah,1993,149,tt0107060,6.1
Hasee Toh Phasee,2014,135,tt3173910,6.8
Humpty Sharma Ki Dulhania,2014,131,tt3678938,6.0
Kaal,2005,126,tt0415908,4.7
Kabhi Alvida Naa Kehna,2006,192,tt0449999,6.0
Kabhi Khushi Kabhie Gham,2001,209,tt0248126,7.4
Kal Ho Naa Ho,2003,187,tt0347304,7.9
Kapoor & Sons,2016,138,tt4900716,7.7
Kuch Kuch Hota Hai,1998,185,tt0172684,7.6
Mighty Raju Rio Calling,2014,97,tt3855406,5.3
Muqaddar ka Faisla,1987,172,tt0239682,4.9
SETHUM AAYIRAM PON,2020,103,tt8976418,7.1
The Runaways,2010,107,tt1017451,6.5
Ungli,2014,114,tt2392447,5.8
Wildling,2018,93,tt5085924,5.5
Greater,2016,131,tt2950418,7.3
Indian Horse,2017,101,tt5672286,7.2
Paharganj,2019,107,tt7624840,4.5
Kannum Kannum Kollaiyadithaal,2020,160,tt8042292,7.6
Rogue Warfare,2019,103,tt5266668,2.9
Maska,2020,112,tt11953628,5.9
The Decline,2020,83,tt10307440,6.0
The Decline,2020,83,tt13410288,7.0
There's Something in the Water,2019,72,tt10864040,6.6
Uncorked,2020,104,tt9261218,6.4
Happy Old Year,2019,113,tt11316824,7.2
Curtiz,2018,99,tt6774588,6.0
The Occupant,2020,104,tt9345754,6.4
A Life of Speed: The Juan Manuel Fangio Story,2020,93,tt6668212,7.0
El silencio es bienvenido,2017,95,tt6436212,5.1
Ultras,2020,109,tt10937434,6.2
3022,2019,91,tt9465600,4.5
Altered Carbon: Resleeved,2020,75,tt9310328,6.5
Lu Over the Wall,2017,113,tt6452332,6.8
Search Party,2014,93,tt2758904,5.6
Bypass Road,2019,135,tt9176260,5.4
Jai Mummy Di,2020,101,tt9817760,3.7
Baby Mamas,2018,98,tt8686460,6.4
Go Karts,2020,103,tt8116640,5.9
Justine,2019,106,tt8202262,6.7
Lost Girls,2020,95,tt3111426,6.1
Miracle in Cell No. 7,2019,132,tt10431500,8.2
Miracle in Cell No. 7,2019,132,tt10845262,7.5
All About Love,2017,79,tt7324726,3.9
Guilty,2020,120,tt10062614,5.4
Miles Davis: Birth of the Cool,2019,115,tt1305619,7.5
Spenser Confidential,2020,111,tt8629748,6.2
93 Days,2016,121,tt5305246,6.0
Tootsies & The Fake,2019,108,tt11280100,5.9
Aurora,2010,186,tt1403047,6.6
The Death of Mr. Lazarescu,2005,154,tt0456149,7.8
Freaks,2018,105,tt8781414,6.7
W.E.,2011,119,tt1536048,6.2
Frank & Lola,2016,87,tt1290138,5.9
Hugo,2011,127,tt0970179,7.5
Ordinary World,2016,87,tt4189494,5.5
"Pop, Lock 'n Roll",2017,88,tt2336014,5.1
There Will Be Blood,2007,158,tt0469494,8.2
Voulez-vous rire avec moi ce soir?,2018,93,tt8413624,6.9
ZZ TOP: THAT LITTLE OL' BAND FROM TEXAS,2019,90,tt9015306,7.5
All The Bright Places,2020,109,tt3907584,6.5
Ala Vaikunthapurramuloo,2020,162,tt9537292,7.3
Pokémon: Mewtwo Strikes Back - Evolution,2019,98,tt8856470,5.7
Couple of Days,2016,103,tt9741588,7.0
Gbomo Gbomo Express,2015,97,tt4527090,5.0
The Arbitration,2016,101,tt5811182,5.3
The Visit,2015,138,tt15119398,6.2
The Visit,2015,138,tt3567288,6.2
The Visit,2015,138,tt3833746,5.9
When Love Happens,2014,109,tt4094916,4.8
Full Count,2019,110,tt3852042,5.6
Girl on the Third Floor,2019,92,tt9026184,4.7
The Body,2019,101,tt8130904,5.4
The Last Thing He Wanted,2020,116,tt7456312,4.3
Yeh Ballet,2020,117,tt10230436,7.5
Pretville,2012,95,tt2631210,4.6
By the Sea,2015,122,tt3707106,5.3
Miss Virginia,2019,102,tt6246534,7.1
MR. RIGHT,2015,96,tt2091935,6.3
MR. RIGHT,2015,96,tt3812348,3.3
Term Life,2016,93,tt2978102,5.6
The Forest,2016,93,tt3387542,4.8
The Forest,2016,93,tt4982356,6.4
A Shaun the Sheep Movie: Farmageddon,2019,87,tt6193408,6.8
Cuddle Weather,2019,95,tt10896172,6.1
Isi & Ossi,2020,113,tt9806322,6.4
Liefling,2010,118,tt1808262,5.4
The Ghost and the Tout,2018,100,tt11802938,4.2
Dragon Quest Your Story,2019,103,tt10127562,6.5
French Toast,2015,86,tt5000984,5.7
To All the Boys: P.S. I Still Love You,2020,102,tt9354842,6.0
Good Time,2017,101,tt4846232,7.3
ROAD TO ROMA,2020,73,tt11763742,7.7
Love for Sale 2,2019,96,tt10643938,7.0
Fronteras,2018,106,tt7308310,3.9
Polaroid,2019,88,tt5598292,5.1
The Coldest Game,2019,103,tt6445414,6.2
Thottappan,2019,139,tt9448362,6.9
Azali,2018,89,tt8630282,5.7
Horse Girl,2020,104,tt11388406,6.0
Jada,2019,124,tt9769714,5.4
The Ballad of Lefty Brown,2017,112,tt4400994,6.3
Gardeners of Eden,2014,70,tt3740782,8.0
Uppity: The Willy T. Ribbs Story,2020,106,tt5862338,7.8
"Faith, Hope & Love",2019,106,tt8310924,6.3
Thambi,2019,148,tt10468636,6.8
Chronically Metropolitan,2016,86,tt4460854,5.0
Hum Aapke Hain Koun,1994,193,tt0110076,7.5
Justice,2017,92,tt5143890,4.0
Love Jacked,2018,94,tt4329242,5.8
Misfit 2,2019,82,tt10813338,4.9
Night on Earth: Shot in the Dark,2020,59,tt12687448,7.7
The Car: Road to Revenge,2019,89,tt9382596,4.0
Gang of the Caribbean,2016,86,tt2174084,5.1
Hakkunde,2017,93,tt6974886,6.5
Miss Americana,2020,85,tt11388580,7.4
Close Enemies,2018,112,tt6527586,6.4
Shimla Mirchi,2020,121,tt4486148,4.6
Sillu Karuppatti,2019,133,tt9614988,8.0
Menashe,2017,82,tt6333086,6.6
A Sun,2019,156,tt10883506,7.6
Die Ontwaking,2015,90,tt4993990,4.2
Airplane Mode,2020,97,tt10731748,5.1
Whisky,2004,98,tt0331370,7.1
KD (A) Karuppudurai,2019,116,tt8747560,8.4
Motichoor Chaknachoor,2019,132,tt9172840,5.8
The Bling Ring,2013,91,tt2132285,5.6
A Fall from Grace,2020,121,tt11390036,5.8
Deadcon,2019,78,tt7262990,2.8
Hop,2011,95,tt1411704,5.4
Jezebel,2019,86,tt7103742,6.6
Legend,2015,132,tt3569230,6.9
NiNoKuni,2019,107,tt9760504,6.1
Steve Jobs,2015,122,tt2080374,7.2
Bulbul Can Sing,2018,95,tt8659050,6.9
Eye For An Eye,2019,108,tt6937724,4.0
Eye For An Eye,2019,108,tt7967412,6.6
The Brave,2019,103,tt5524630,5.0
Women of Mafia 2,2019,132,tt8858420,3.8
Made in China,2019,128,tt8983180,6.2
Made in China,2019,128,tt9351598,5.5
Monsters: Dark Continent,2014,119,tt1935302,4.3
Bulletproof 2,2020,97,tt9887580,3.6
A Ghost Story,2017,92,tt6265828,6.8
Half Girlfriend,2017,129,tt5474042,4.5
Aruna & Her Palate,2018,106,tt8894180,7.2
Breaking the Bank,2014,105,tt3105662,4.8
Ghost Stories,2020,145,tt10230404,4.4
Jimmy Neutron: Boy Genius,2001,83,tt0268397,6.0
Pan's Labyrinth,2006,119,tt0457430,8.2
Riot,2015,88,tt4642044,5.1
Aaviri,2019,110,tt10081210,3.9
Albert Pinto Ko Gussa Kyun Aata Hai?,2019,85,tt4355838,5.6
Benchwarmers 2: Breaking Balls,2019,90,tt8750122,4.1
Hot Gimmick: Girl Meets Boy,2019,120,tt10061256,4.4
"El Pepe, a Supreme Life",2018,73,tt8900434,7.1
The App,2019,79,tt11385066,2.8
Doom: Annihilation,2019,97,tt8328716,3.7
Fireworks,2017,91,tt6317962,5.5
Grand-Daddy Day Care,2019,96,tt8749922,4.9
MFKZ,2017,95,tt4717402,6.7
Sweetheart,2019,83,tt6560164,5.8
Sweetheart,2019,83,tt7682382,6.1
Como caído del cielo,2019,117,tt10946934,6.5
Jacob's Ladder,2019,90,tt3016748,3.6
Back of the Net,2019,86,tt8211214,5.2
Lost in London,2017,86,tt6338476,6.2
Lost in London,2017,86,tt6926236,4.9
Being Mrs Elliot,2014,113,tt4387222,7.3
Iyore,2015,141,tt4512896,7.5
The Two Popes,2019,126,tt8404614,7.6
"Sincerely Yours, Dhaka",2018,136,tt8958304,6.9
The Danish Girl,2015,120,tt0810819,7.1
Bangistan,2015,134,tt3422462,4.5
Dil Chahta Hai,2001,185,tt0292490,8.1
Dil Dhadakne Do,2015,174,tt4110568,7.0
Don,2006,169,tt0461936,7.1
Don 2,2011,148,tt1285241,7.0
Fukrey,2013,135,tt2806788,6.9
Game,2011,135,tt1772872,5.2
Holy Expectations,2019,89,tt10945950,5.1
Honeymoon Travels Pvt. Ltd.,2007,119,tt0808306,6.1
Isoken,2017,98,tt6685776,6.5
Karthik Calling Karthik,2010,135,tt1373156,7.1
Lakshya,2004,185,tt0323013,7.9
Luck by Chance,2009,156,tt0886539,7.1
Potato Potahto,2017,104,tt6950250,4.2
Rock On!!,2008,139,tt1230165,7.7
Zindagi Na Milegi Dobara,2011,154,tt1562872,8.2
6 Underground,2019,129,tt8106534,6.1
A Trip to Jamaica,2016,99,tt6334740,5.0
Okafor's Law,2016,110,tt5955112,5.1
Seven and a half dates,2018,107,tt14606680,5.8
The 9th Precinct,2019,95,tt10871460,5.6
The Sky Is Pink,2019,143,tt8902990,7.6
Good and Prosperous,2017,101,tt7502828,3.9
It Comes at Night,2017,92,tt4695012,6.2
Saaho,2019,172,tt6836936,5.0
Nothing to Lose 2,2019,97,tt10738914,3.0
Banana Island Ghost,2017,108,tt8149090,6.2
Marriage Story,2019,137,tt7653254,7.9
No Game No Life: Zero,2017,106,tt5914996,7.3
Slow Country,2017,115,tt6911110,5.3
Wives on Strike: The Revolution,2017,93,tt10521028,5.9
A Christmas Prince: The Royal Baby,2019,85,tt10006006,5.4
Baby Dolls,2019,127,tt9390254,7.0
Cut Bank,2014,93,tt1661820,6.1
Dead Kids,2019,94,tt11156614,5.5
Jindua,2017,135,tt5917052,6.3
Lakeeran,2016,111,tt6115284,6.4
Mahi NRI,2017,134,tt5910902,6.1
Qismat,2018,137,tt8665634,8.1
Thug Life,2017,133,tt7140020,6.1
Wandering Stars,2019,95,tt10445866,7.1
Why Me?,2015,126,tt4016994,7.5
Guatemala: Heart of the Mayan World,2019,67,tt11505398,6.6
The Zoya Factor,2019,135,tt8304386,4.3
Atlantics,2019,106,tt10199586,6.7
Crazy people,2018,107,tt8542144,4.8
I Lost My Body,2019,81,tt9806192,7.5
Kalushi: The Story of Solomon Mahlangu,2016,107,tt3487278,6.6
Payday,2018,110,tt6250554,5.2
Payday,2018,110,tt8960334,5.5
The Accidental Spy,2017,104,tt6921426,4.6
The Island,2018,93,tt8755316,6.2
The Island,2018,93,tt9125432,5.2
Holiday Rush,2019,94,tt10091530,4.9
Defiance,2008,137,tt1034303,7.1
Evvarikee Cheppoddu,2019,134,tt10081202,7.1
The Body Remembers When the World Broke Open,2019,106,tt8230872,6.9
The Irishman,2019,209,tt1302006,7.8
Pranaam,2019,117,tt7228072,4.2
Shot Caller,2017,121,tt4633690,7.3
Brother,2019,97,tt9095526,6.7
Girls und Panzer der Film,2015,121,tt5284414,7.3
The Knight Before Christmas,2019,93,tt10060094,5.5
"Bikram: Yogi, Guru, Predator",2019,86,tt10883004,6.7
Mallesham,2019,131,tt9742362,8.3
Iron Sky: The Coming Race,2019,93,tt3038708,5.0
Suffragette,2015,107,tt3077214,6.9
The Green Inferno,2013,101,tt2403021,5.3
Earthquake Bird,2019,107,tt8178486,5.9
GO! The Unforgettable Party,2019,60,tt11162974,5.2
Guna 369,2019,143,tt10638296,6.2
House Arrest,2019,105,tt11163028,5.5
K-on! the movie,2011,110,tt1909796,7.6
Klaus,2019,98,tt4729430,8.1
The Garden of Words,2013,46,tt2591814,7.4
A Single Man,2009,100,tt1315981,7.5
To Be of Service,2019,88,tt10413458,7.4
Let It Snow,2019,93,tt1950235,5.8
Paradise Beach,2019,94,tt7511008,4.6
U Turn,2016,121,tt5377564,7.4
Burning Cane,2019,78,tt7358154,5.5
Shadow,2018,116,tt6864046,7.0
The Lovers,2017,98,tt5770620,6.1
Tune in for Love,2019,123,tt10763618,7.1
Undercover Brother 2,2019,85,tt6843446,3.4
A Remarkable Tale,2019,94,tt8296660,5.3
American Son,2019,90,tt9664078,5.8
Christmas Survival,2018,101,tt8255490,5.1
Drive,2019,119,tt6593054,3.1
Holiday in the Wild,2019,86,tt8510488,6.1
Holly Star,2018,92,tt6268734,5.2
Santa Girl,2019,91,tt7315570,5.0
The King,2019,141,tt7984766,7.3
The Man Without Gravity,2019,107,tt9646240,5.8
Mehandi Circus,2019,126,tt9665400,7.3
Consequences,2014,106,tt3176134,6.5
Dolemite Is My Name,2019,118,tt8526872,7.2
It Takes a Lunatic,2019,127,tt11052346,6.6
Rattlesnake,2019,86,tt9257484,4.6
The Awakening of Motti Wolkenbruch,2018,94,tt4766630,6.6
Revenge of the Pontianak,2019,92,tt9113332,5.3
Master Z: The Ip Man Legacy,2018,108,tt7262882,6.5
Free Fire,2016,91,tt4158096,6.3
The Command,2018,118,tt4951982,6.6
10 Days in Sun City,2017,87,tt10499474,5.3
Eli,2019,98,tt5294518,5.8
"Love, Surreal and Odd",2017,95,tt6555772,5.6
Seventeen,2019,100,tt8988748,7.2
Tatu,2017,101,tt9742582,4.2
Tell Me Who I Am,2019,86,tt10915286,7.6
The Laundromat,2019,96,tt5865326,6.3
Up North,2018,99,tt8631800,5.4
Upstarts,2019,112,tt11066130,6.7
Verses of Love 2,2017,127,tt7127652,5.5
League of Legends Origins,2019,78,tt11131032,6.5
Sinister 2,2015,97,tt2752772,5.3
The Game Changers,2018,86,tt7455754,7.8
Street Flow,2019,96,tt10958282,6.4
Bygones Be Bygones,2017,104,tt6313158,6.2
El Camino: A Breaking Bad Movie,2019,123,tt9243946,7.3
Fractured,2019,100,tt4332232,6.4
The Bling Lagosians,2019,99,tt10410186,6.5
The Forest of Love,2019,151,tt10589914,6.3
After,2019,106,tt4126476,5.3
Home Is Where the Killer Is,2019,87,tt9086910,4.4
Love for Sale,2018,101,tt8065796,7.4
A Plastic Ocean,2016,100,tt5203824,7.9
Brother in Love,2019,110,tt10320050,7.1
In the Tall Grass,2019,102,tt4687108,5.4
Kids on the Block,2019,102,tt9533342,5.7
Ready to Mingle,2019,98,tt6736198,5.9
Salam - The First ****** Nobel Laureate,2018,76,tt7904606,7.8
First Kiss,2018,90,tt8610996,3.9
Limitless,2017,59,tt6084030,7.0
The Rugrats Movie,1998,81,tt0134067,5.9
The Squid and the Whale,2005,81,tt0367089,7.3
TUNA GIRL,2019,90,tt11057912,6.2
Deliha 2,2018,102,tt7871636,4.7
In the Shadow of the Moon,2019,116,tt8110640,6.2
Malaal,2019,133,tt10305616,5.8
The Grandmaster,2013,108,tt1462900,6.5
Inside Man: Most Wanted,2019,106,tt7832848,5.6
Manmadhudu 2,2019,152,tt10076106,4.8
Under the Eiffel Tower,2018,87,tt6251390,5.5
Between Two Ferns: The Movie,2019,83,tt9398640,6.1
Travel Mates 2,2018,111,tt8748256,5.9
Kabir Singh,2019,171,tt8983202,7.0
Avengement,2019,88,tt8836988,6.5
Oh! Baby,2019,157,tt9348296,7.4
Locked on You,2018,105,tt8493514,6.2
Shanghai Fortress,2019,107,tt6628322,4.4
Tall Girl,2019,103,tt9252508,5.2
Article 15,2019,125,tt10324144,8.1
Ee Nagaraniki Emaindi,2018,133,tt8490894,7.9
Kill Me If You Dare,2019,100,tt9749604,4.4
Saawan,2016,128,tt5580778,7.4
Watchman,2019,93,tt9378320,5.3
Elena,2012,81,tt2475154,7.5
Uncle Naji in UAE,2019,95,tt10181594,5.2
Back to School,2019,84,tt10715194,5.3
Mi amigo Alexis,2019,102,tt9747396,5.1
Unbridled,2018,100,tt7474914,5.0
Falling Inn Love,2019,98,tt9860728,5.6
Kardec,2019,110,tt9213932,6.1
Travis Scott: Look Mom I Can Fly,2019,85,tt10856726,6.3
Drink Drank Drunk,2016,92,tt6899800,4.3
Marriage Palace,2018,135,tt8852242,6.2
Mayday Life,2019,120,tt10346206,6.7
Saavat,2019,118,tt7798984,6.6
American Factory,2019,110,tt9351980,7.4
The Girl Allergic to Wi-Fi,2018,104,tt7619554,6.2
Selfless,2015,117,tt2140379,6.5
Sextuplets,2019,100,tt8976710,4.4
The Little Switzerland,2019,86,tt9100028,4.8
Uyare,2019,119,tt9271408,8.0
90 ML,2019,123,tt11058176,5.0
90 ML,2019,123,tt8268916,3.3
Calum von Moger: Unbroken,2019,93,tt10308686,6.2
Badla,2019,117,tt8130968,7.8
Crazy Beautiful You,2015,114,tt4377918,7.0
Screwball,2018,105,tt8819596,7.1
Enter the Anime,2019,59,tt10662450,2.6
Misfit,2017,81,tt7109106,4.3
Léa & I,2019,84,tt9382396,6.5
Otherhood,2019,101,tt4180560,6.1
Uriyadi 2,2019,116,tt10121762,7.0
Manu,2018,177,tt6615648,7.7
Manu,2018,177,tt8322784,7.0
The Red Sea Diving Resort,2019,130,tt4995776,6.6
The Son,2019,93,tt10665234,5.5
The Great Hack,2019,114,tt4736550,7.0
The Midas Touch,2013,98,tt3173512,5.0
The Twins Effect II,2004,106,tt0398373,4.8
Twins Mission,2007,102,tt0934949,5.2
"¡Ay, mi madre!",2019,81,tt6213294,3.9
Secret Obsession,2019,98,tt9419834,4.4
Mauli,2018,136,tt8826936,5.6
4L,2019,105,tt8242160,5.9
Cities of Last Things,2018,106,tt4397342,6.2
Kidnapping Stella,2019,90,tt8613876,4.9
Point Blank,2019,87,tt2499472,5.7
The Milk System,2017,91,tt7274546,7.0
Parchís: the Documentary,2019,106,tt10511826,6.8
"River, el más grande siempre",2019,105,tt10319998,7.2
Romeo Akbar Walter,2019,141,tt8550208,6.6
Super Deluxe,2019,176,tt7019942,8.3
El testigo,2018,73,tt9149838,8.0
La Leyenda del Diamante,2017,87,tt6487242,3.4
Kahaani,2012,122,tt1821480,8.1
Triple Threat,2019,96,tt6643972,5.6
Blood Will Tell,2019,113,tt5687236,6.1
Rakkhosh,2019,116,tt6018556,4.8
Beats,2019,110,tt7524414,7.1
Beats,2019,110,tt8530978,6.4
The Edge of Democracy,2019,122,tt6016744,7.3
Cop Car,2015,88,tt3813310,6.3
Right Here Right Now,2018,91,tt6175086,5.4
DJ Cinderella,2019,95,tt8716800,4.6
Murder Mystery,2019,98,tt1618434,6.0
The 3rd Eye 2,2019,117,tt8890582,5.4
Belmonte,2018,74,tt8846072,6.1
Elisa & Marcela,2019,119,tt6704898,6.6
I Am Mother,2019,114,tt6292852,6.7
Luka Chuppi,2019,125,tt8908002,6.3
Stree,2018,127,tt8108202,7.5
The Black Godfather,2019,118,tt10289996,7.5
Krutant,2019,114,tt9575388,6.5
III Smoking Barrels,2017,128,tt5791986,6.6
"Oh, Ramona!",2019,109,tt7200946,4.8
We Are Legends,2019,109,tt10076722,5.2
Chopsticks,2019,101,tt10243678,6.5
Pegasus,2019,98,tt9597190,6.3
Svaha: The Sixth Finger,2019,123,tt7299298,6.2
Rim of the World,2019,99,tt8179388,5.2
Born in Gaza,2014,70,tt4205416,7.4
Born in Syria,2016,87,tt5356680,7.7
Dying to Tell,2018,88,tt5900870,6.8
Maria,2019,90,tt7594584,5.0
See You Yesterday,2019,87,tt8743064,5.2
Good Sam,2019,90,tt9032888,5.7
Jonaki,2018,96,tt6346982,6.7
Hamid,2018,108,tt7527082,7.7
Weed the People,2018,94,tt7968976,7.3
Malibu Rescue,2019,70,tt9228950,5.0
Dry Martina,2018,100,tt6312802,5.8
The Great Magician,2011,128,tt1869721,5.9
Wine Country,2019,104,tt8169446,5.4
Gatao 2: Rise of the King,2018,126,tt8324576,6.1
Last Breath,2019,86,tt9056818,7.7
The Wandering Earth,2019,125,tt7605074,5.9
Despite Everything,2019,79,tt9150970,5.4
"Extremely Wicked, Shockingly Evil and Vile",2019,110,tt2481498,6.7
The Last Summer,2019,110,tt7957694,5.5
Laatu,2018,116,tt8983240,6.5
Olympus Has Fallen,2013,119,tt2302755,6.5
Knock Down The House,2019,88,tt9358052,7.3
Munafik 2,2018,104,tt7059506,5.5
Sur Sapata,2019,140,tt5338082,7.5
A Home with A View,2019,92,tt8443432,5.9
Loving is Losing,2019,91,tt9619402,5.1
Money Trap,2019,122,tt8442644,6.0
Njan Prakashan,2018,125,tt8286926,7.6
A Fortunate Man,2018,168,tt8436026,7.2
Grass Is Greener,2019,98,tt10050782,7.1
Brené Brown: The Call to Courage,2019,77,tt10050766,7.7
Music Teacher,2019,102,tt3257794,6.2
Someone Great,2019,92,tt8075260,6.1
The Ruthless,2019,111,tt9239888,6.2
A Little Chaos,2014,113,tt2639254,6.5
HOMECOMING: A film by Beyoncé,2019,138,tt10147546,7.5
About Time,2013,123,tt2194499,7.8
Bollywood Calling,2001,102,tt0303733,6.3
Ek Khiladi Ek Haseena,2005,141,tt0461209,5.7
Generation Iron 3,2018,95,tt8178958,6.2
Hazaaron Khwaishein Aisi,2003,111,tt0411469,7.9
Jhankaar Beats,2003,131,tt0347278,7.2
Mumbai Matinee,2003,116,tt0382188,5.1
Rainbow Jelly,2018,119,tt8396306,6.9
Shabd,2005,146,tt0409527,5.1
Shortcut Safari,2016,101,tt4505006,6.5
Thriller,2018,87,tt7671414,3.6
Who Would You Take to a Deserted Island?,2019,94,tt8976832,5.3
Dabbe: The Possession,2013,135,tt3069758,6.8
The Perfect Date,2019,91,tt8201170,5.8
The Silence,2019,91,tt7315484,5.3
Alien Warfare,2019,88,tt9562694,2.6
Petta,2019,170,tt8959820,7.2
Ek Ladki Ko Dekha Toh Aisa Laga,2019,120,tt8108164,5.6
Jagat,2015,76,tt5143450,6.9
Love O2O,2016,103,tt6091936,6.4
Pinky Memsaab,2018,124,tt8529070,6.4
Mercy Black,2019,88,tt8758086,4.9
The Burial of Kojo,2018,81,tt7497366,6.4
15 August,2019,124,tt9817300,5.9
The Highwaymen,2019,132,tt1860242,6.9
Verses of Love,2008,126,tt1198186,6.9
Sei,2018,126,tt5820544,4.2
Superlopez,2018,108,tt4110388,5.4
Oversize Cops,2017,100,tt7547814,5.8
Mirage,2018,129,tt6908274,7.4
The Dirt,2019,108,tt0800325,7.0
The Amazing Praybeyt Benjamin,2014,105,tt3828220,4.0
The Super Parental Guardians,2016,115,tt6271110,4.5
The Third Party,2016,118,tt6088634,6.1
The Unmarried Wife,2016,130,tt5755796,6.1
Alexis Viera: A Story of Surviving,2019,69,tt10177712,7.2
Imago,2018,97,tt9627240,7.2
5 Flights Up,2014,92,tt2933544,6.2
Burn Out,2017,104,tt6340604,6.2
Girl,2018,106,tt8254556,7.1
Late Life: The Chien-Ming Wang Story,2018,98,tt8234502,7.1
Paskal,2018,115,tt9063106,6.5
A Love Story,2007,117,tt0990433,6.4
Barcelona: A Love Untold,2016,132,tt5755912,6.6
Everything About Her,2016,127,tt3860092,7.2
Finally Found Someone,2017,125,tt7151438,5.8
Seven Sundays,2017,128,tt7502214,7.6
Triple Frontier,2019,126,tt1488606,6.4
Juanita,2019,90,tt6155456,6.0
Walk. Ride. Rodeo.,2019,100,tt5848416,6.4
Nappily Ever After,2018,99,tt0365545,6.4
Sisterakas,2012,105,tt2590214,5.0
Starting Over Again,2014,128,tt3528284,6.9
The Love Affair,2015,127,tt4202506,6.3
The Hard Way,2019,94,tt9815714,4.8
Everyday I Love You,2015,124,tt4944460,7.0
No Other Woman,2011,103,tt2057445,6.0
River's Edge,2018,118,tt7476946,6.2
Sarkar,2018,162,tt7715202,6.7
Weapon of Choice,2018,89,tt7683350,4.9
"2,215",2018,89,tt8891536,7.7
BNK48: Girls Don't Cry,2018,108,tt8730152,7.2
Budapest,2018,103,tt7027092,5.4
